,id,name,password,email
0,260,Alice Adams,"*)f2n\:PqMq""",alice_adams@hotmail.com
1,913,Charlie Lee,u+<4r<s0xAOb,charlie_lee@example.com
2,788,Charlie Adams,LCeO0Jq'K;;3,charlie_adams@yahoo.com
3,163,Eve Johnson,v0+4{\YR24nC,eve_johnson@hotmail.com
4,604,Alice Moore,\5cF/g48EXak,alice_moore@hotmail.com
5,395,Bob Johnson,Sv:~f3OFc}nL,bob_johnson@gmail.com
6,428,Charlie Hall,lOaHi3k;;~#g,charlie_hall@gmail.com
7,645,Jack Johnson,"""+~53|g.d<B`",jack_johnson@gmail.com
8,36,Alice Smith,FNn^b&H`2b_Q,alice_smith@example.com
9,110,Jack Brown,.y!}##Ybz(i|,jack_brown@yahoo.com
