id,name,password,email
260,Alice Adams,"*)f2n\:PqMq""",alice_adams@hotmail.com
913,Charlie Lee,u+<4r<s0xAOb,charlie_lee@example.com
788,Charlie Adams,LCeO0Jq'K;;3,charlie_adams@yahoo.com
163,Eve Johnson,v0+4{\YR24nC,eve_johnson@hotmail.com
604,Alice Moore,\5cF/g48EXak,alice_moore@hotmail.com
395,Bob Johnson,Sv:~f3OFc}nL,bob_johnson@gmail.com
428,Charlie Hall,lOaHi3k;;~#g,charlie_hall@gmail.com
645,Jack Johnson,"""+~53|g.d<B`",jack_johnson@gmail.com
36,Alice Smith,FNn^b&H`2b_Q,alice_smith@example.com
110,Jack Brown,.y!}##Ybz(i|,jack_brown@yahoo.com
